Table.Folder.Placemark.ExtendedData.SchemaData.SimpleData.Element:Text,long,lat
Xochimilco,-99.12080,19.27337
Xochimilco,-99.11766,19.27819
Tlalpan,-99.16908,19.27931
Tlalpan,-99.16999,19.28032
Xochimilco,-99.11669,19.28141
Tlalpan,-99.17530,19.28326
Xochimilco,-99.11554,19.28506
Tlalpan,-99.17460,19.28810
Tlalpan,-99.17754,19.29260
Tlalpan,-99.18103,19.29407
Tlalpan,-99.11447,19.29555
Tlalpan,-99.18551,19.29909
Coyoacán / Tlalpan,-99.11335,19.30157
Coyoacán,-99.18613,19.30411
Coyoacán,-99.11179,19.30681
Coyoacán,-99.11067,19.31184
Coyoacán,-99.18753,19.31516
Coyoacán,-99.11163,19.31634
Coyoacán,-99.11362,19.32068
Coyoacán,-99.18847,19.32295
Coyoacán,-99.11397,19.32421
Coyoacán,-99.11354,19.32921
Coyoacán,-99.11315,19.33372
Iztapalapa,-99.11300,19.33876
Álvaro Obregón,-99.19004,19.34071
Iztapalapa,-99.11244,19.34313
Álvaro Obregón,-99.18773,19.34682
Iztapalapa,-99.11134,19.34798
Álvaro Obregón,-99.18636,19.35090
Iztapalapa,-99.11092,19.35158
Álvaro Obregón,-99.18516,19.35463
Iztapalapa,-99.11134,19.35663
Álvaro Obregón,-99.18391,19.35848
Iztapalapa,-99.11028,19.36126
Benito Juárez / Álvaro Obregón,-99.18285,19.36176
Benito Juárez,-99.18183,19.36493
Iztapalapa,-99.10919,19.36604
Benito Juárez,-99.18057,19.36878
Benito Juárez,-99.16101,19.37157
Iztapalapa,-99.10786,19.37159
Benito Juárez,-99.17880,19.37425
Benito Juárez,-99.16023,19.37484
Iztapalapa,-99.10798,19.37488
Iztapalapa,-99.10907,19.37806
Benito Juárez,-99.17707,19.37959
Benito Juárez,-99.15874,19.38051
Benito Juárez,-99.17614,19.38245
Iztacalco,-99.11089,19.38289
Iztacalco / Iztapalapa,-99.06079,19.38333
Iztacalco / Iztapalapa,-99.06582,19.38347
Iztapalapa,-99.07092,19.38420
Iztapalapa,-99.07637,19.38451
Iztapalapa,-99.05173,19.38538
Benito Juárez,-99.17509,19.38569
Benito Juárez,-99.15723,19.38595
Iztacalco,-99.11166,19.38632
Iztapalapa,-99.08002,19.38696
Iztacalco / Iztapalapa,-99.07428,19.38763
Iztacalco / Iztapalapa,-99.05985,19.38903
Iztapalapa,-99.08315,19.38906
