Table.Folder.Placemark.ExtendedData.SchemaData.SimpleData.Element:Text,Table.Folder.Placemark.ExtendedData.SchemaData.SimpleData.Attribute:name,long,lat
Cuauhtémoc,ALCALDIAS,-99.16506,19.41655
Venustiano Carranza,ALCALDIAS,-99.07345,19.41707
Venustiano Carranza,ALCALDIAS,-99.11222,19.41837
Cuauhtémoc,ALCALDIAS,-99.16406,19.41993
Cuauhtémoc,ALCALDIAS,-99.15408,19.42040
Venustiano Carranza / Iztacalco,ALCALDIAS,-99.05840,19.42115
Venustiano Carranza,ALCALDIAS,-99.12392,19.42318
Venustiano Carranza,ALCALDIAS,-99.12341,19.42324
Cuauhtémoc,ALCALDIAS,-99.16288,19.42372
Cuauhtémoc,ALCALDIAS,-99.17429,19.42389
Miguel Hidalgo,ALCALDIAS,-99.18044,19.42400
Miguel Hidalgo,ALCALDIAS,-99.18492,19.42469
Cuauhtémoc,ALCALDIAS,-99.15370,19.42496
Venustiano Carranza,ALCALDIAS,-99.11615,19.42510
Cuauhtémoc,ALCALDIAS,-99.17165,19.42514
Venustiano Carranza,ALCALDIAS,-99.11987,19.42517
Venustiano Carranza,ALCALDIAS,-99.11904,19.42548
Venustiano Carranza,ALCALDIAS,-99.11147,19.42559
Miguel Hidalgo,ALCALDIAS,-99.19420,19.42609
Cuauhtémoc,ALCALDIAS,-99.12992,19.42616
Cuauhtémoc,ALCALDIAS,-99.16858,19.42657
Cuauhtémoc,ALCALDIAS,-99.13278,19.42666
Miguel Hidalgo,ALCALDIAS,-99.19936,19.42689
Venustiano Carranza,ALCALDIAS,-99.11198,19.42689
Venustiano Carranza,ALCALDIAS,-99.11623,19.42718
Cuauhtémoc,ALCALDIAS,-99.16124,19.42752
Cuauhtémoc,ALCALDIAS,-99.14874,19.42807
Cuauhtémoc,ALCALDIAS,-99.16497,19.42826
Cuauhtémoc,ALCALDIAS,-99.12552,19.42834
Cuauhtémoc,ALCALDIAS,-99.12927,19.42870
Cuauhtémoc,ALCALDIAS,-99.13280,19.42893
Cuauhtémoc,ALCALDIAS,-99.13241,19.42914
Cuauhtémoc,ALCALDIAS,-99.13701,19.42962
Cuauhtémoc,ALCALDIAS,-99.16205,19.42964
Cuauhtémoc,ALCALDIAS,-99.13659,19.42969
Cuauhtémoc,ALCALDIAS,-99.13854,19.42987
Cuauhtémoc,ALCALDIAS,-99.13942,19.43007
Venustiano Carranza / Estado de México - Nezahualcóyotl,ALCALDIAS,-99.05327,19.43075
Venustiano Carranza,ALCALDIAS,-99.11528,19.43082
Cuauhtémoc,ALCALDIAS,-99.15863,19.43125
Cuauhtémoc,ALCALDIAS,-99.14774,19.43126
Cuauhtémoc,ALCALDIAS,-99.14803,19.43129
Cuauhtémoc,ALCALDIAS,-99.14839,19.43131
Cuauhtémoc,ALCALDIAS,-99.15022,19.43159
Cuauhtémoc,ALCALDIAS,-99.15095,19.43176
Cuauhtémoc,ALCALDIAS,-99.15597,19.43250
Cuauhtémoc,ALCALDIAS,-99.15871,19.43290
Cuauhtémoc,ALCALDIAS,-99.15334,19.43376
Cuauhtémoc,ALCALDIAS,-99.15353,19.43416
Venustiano Carranza,ALCALDIAS,-99.11462,19.43497
Cuauhtémoc,ALCALDIAS,-99.15337,19.43501
Venustiano Carranza,ALCALDIAS,-99.11518,19.43536
Cuauhtémoc,ALCALDIAS,-99.14950,19.43559
Venustiano Carranza,ALCALDIAS,-99.11825,19.43579
Venustiano Carranza,ALCALDIAS,-99.11900,19.43581
Venustiano Carranza,ALCALDIAS,-99.12161,19.43600
Cuauhtémoc,ALCALDIAS,-99.14721,19.43601
Cuauhtémoc,ALCALDIAS,-99.15732,19.43605
Venustiano Carranza,ALCALDIAS,-99.12081,19.43614
Cuauhtémoc / Venustiano Carranza,ALCALDIAS,-99.12416,19.43632
Cuauhtémoc / Venustiano Carranza,ALCALDIAS,-99.12341,19.43636
Cuauhtémoc,ALCALDIAS,-99.14172,19.43641
Cuauhtémoc,ALCALDIAS,-99.14182,19.43641
Cuauhtémoc,ALCALDIAS,-99.12762,19.43677
Cuauhtémoc,ALCALDIAS,-99.15414,19.43680
Cuauhtémoc,ALCALDIAS,-99.12704,19.43685
Cuauhtémoc,ALCALDIAS,-99.15398,19.43713
